Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
32050;GROUPEMENT POUR L INDUSTRIE;ET LES METIERS - ACCUEIL BAT A;40 AVENUE MARYSE BASTIE  - BP75;33523;BRUGES CEDEX;05 56 70 72 59;LYDIE MARTINEZ;GROUPEMENT POUR L INDUSTRIE;;ET LES METIERS - ACCUEIL BAT A;40 AVENUE MARYSE BASTIE  - BP75;33523;BRUGES CEDEX;05 56 70 72 59;;LYDIE MARTINEZ
32060;DISTRIBUTION AQUITAINE PAPETER;OLIVIER GLINEUR;11 RUE DE SUFFREN;33300;BORDEAUX;05 56 95 32 15;M.;DISTRIBUTION AQUITAINE PAPETER;;OLIVIER GLINEUR;11 RUE DE SUFFREN;33300;BORDEAUX;05 56 95 32 15;;DISTRIBUTION AQUITAINE PAPETER
32100;GRASSET BERNARD;AVOCAT A LA COUR;9 RUE DE GRASSI;33000;BORDEAUX;05 56 81 40 53;M.;BERNARD GRASSET;;AVOCAT A LA COUR;9 RUE DE GRASSI;33000;BORDEAUX;05 56 81 40 53;;BERNARD GRASSET
32120;GROSSELLE ERIC;AVOCAT A LA COUR;15 COURS GEORGES CLEMENCEAU;33000;BORDEAUX;05 56 51 98 44;M.;GROSSELLE ERIC;;AVOCAT A LA COUR;15 COURS GEORGES CLEMENCEAU;33000;BORDEAUX;05 56 51 98 44;;ERIC GROSSELLE
32130;LE HAVANE;COULEUR CAFE;28 RUE PERE LOUIS DE JABRUN;33000;BORDEAUX;05 56 48 28 58;M.;LE HAVANE;;COULEUR CAFE;28 RUE PERE LOUIS DE JABRUN;33000;BORDEAUX;05 56 48 28 58;;LE HAVANE
32150;CABINET HERAUT ET ASSOCIES;75 RUE EDOUARD HERRIOT;;33310;LORMONT;05 57 77 96 96;M.;CABINET HERAUT ET ASSOCIES;;75 RUE EDOUARD HERRIOT;;33310;LORMONT;05 57 77 96 96;;Mme GOULARD
32160;HESSAMFAR MARJAN & VERONS JOE;ARCHITECTES ASSOCIES;42 PLACE GAMBETTA;33000;BORDEAUX;05 56 48 66 20;HESSAMFAR MARJAN & VERONS JOE;HESSAMFAR MARJAN & VERONS JOE;;ARCHITECTES ASSOCIES;42 PLACE GAMBETTA;33000;BORDEAUX;05 56 48 66 20;;HESSAMFAR MARJAN & VERONS JOE
32190;HORRENBERGER JACQUES;AVOCAT A LA COUR;7 COURS PASTEUR;33000;BORDEAUX;05 56 01 14 22;M.;HORRENBERGER JACQUES;;7 COURS PASTEUR;7 COURS PASTEUR;33000;BORDEAUX;05 56 01 14 22;;HORRENBERGER JACQUES
32200;HUDIK;AGENCE DE COMMUNICATION;53 AVENUE JEANNE D ARC;33000;BORDEAUX;05 56 51 81 24;HUDIK;HUDIK;;AGENCE DE COMMUNICATION;53 AVENUE JEANNE D ARC;33000;BORDEAUX;05 56 51 81 24;;HUDIK
32210;GROUPE JML;CENTRE EMERAUDE CIDEX 27;61-69 RUE CAMILLE PELLETAN;33150;CENON;05 57 80 11 25;M.;GROUPE JML;;CENTRE EMERAUDE CIDEX 27;61-69 RUE CAMILLE PELLETAN;33150;CENON;05 57 80 11 25;;GROUPE JML
32220;JOANNE;141 ROUTE DE FARGUES;;33360;CARIGNAN DE BORDEAUX;05 56 68 59 70;Sylvie LUCUGARAY;JOANNE;;141 ROUTE DE FARGUES;;33360;CARIGNAN DE BORDEAUX;05 56 68 59 70;;CASTEJA
32230;JSA;MAISON DE QUARTIER;9 11 ALLEE DES PEUPLIERS;33000;BORDEAUX;05 56 98 45 05;MR BOZZANI;J S A;;9 11 RUE DES PEUPLIERS;9 11 ALLEE DES PEUPLIERS;33000;BORDEAUX;05 56 98 45 05;;J S A
32250;SNC KAUFMAN & BROAD AQUITAINE;30 ALLEE DE TOURNY;;33000;BORDEAUX;05 56 12 42 14;SNC KAUFMAN & BROAD AQUITAINE;SNC KAUFMAN & BROAD AQUITAINE;;30 ALLEE DE TOURNY;;33000;BORDEAUX;05 56 12 42 14;;SNC KAUFMAN & BROAD AQUITAINE
